,year,rGDP_USD,imports_GDP,govdebt_GDP,M2,infl,unemp,cbrate,ltrate,Δ_govdebt_GDP,Δ_M2,Country,Year,Consumer_Confidence,inflation_bin,kmeans_cluster,infl_lagged
354,1993,0.16207138971442625,0.0,0.26964716522767074,0.6003670069891915,0.15718061573394565,0.13431035486278264,0.06330716316499554,0.22997169009944493,0.5419338989026368,0.4797870884894172,Japan,1993,0.48697365065294984,Target,0.0,0.07417005390045885
355,1994,0.16386931777675415,0.002310892023324268,0.31500687021030477,0.6255057787548717,0.1240239850629617,0.1553814719626764,0.06330716316499554,0.23199046367278434,0.6782182825491846,0.4746193305664152,Japan,1994,0.5158972575439924,Target,0.0,0.09018582253151827
356,1995,0.16828396063754253,0.010965324242556668,0.34714797409988213,0.6509820316388224,0.07417005390045885,0.16924971257207516,0.03165358158249777,0.18821186440032622,0.553771810987482,0.47207480150306236,Japan,1995,0.5095242594154576,Disinflation,0.0,0.1877434659751832
357,1996,0.17368082086603825,0.030543804116405462,0.368908660020384,0.6757455716491404,0.09018582253151827,0.18091408096665917,0.03165358158249777,0.17193469485352073,0.4787134988028826,0.4660905481356802,Japan,1996,0.5163874881692643,Target,0.0,0.1219967951648022
358,1997,0.1754235394436547,0.03716854079862063,0.3961370686223062,0.7150075910126633,0.1877434659751832,0.1826879250082319,0.03165358158249777,0.13729415567751482,0.5005928146763235,0.5107411090930811,Japan,1997,0.4899150344045813,Target,0.0,0.061249257461056375
359,1998,0.17314524381580013,0.026113784666289525,0.43963088532556693,0.7374334647218947,0.1219967951648022,0.22031490907890083,0.025322865265998216,0.097683987224992,0.570937459552787,0.45123257307020015,Japan,1998,0.46785465626734557,Target,0.0,0.040947354777559716
360,1999,0.17255391123797856,0.02167592371191196,0.4926981835348913,0.7580984667479282,0.061249257461056375,0.25079276950881935,0.025322865265998216,0.10756372464283512,0.5931015675340112,0.44379513847547697,Japan,1999,0.49040526502985327,Disinflation,0.0,0.03710377411717383
361,2000,0.1774329863131472,0.032850401606837706,0.5167419307108513,0.7682235387846211,0.040947354777559716,0.2543404575919647,0.025322865265998216,0.10734558677387641,0.4532222393755126,0.41115105334935753,Japan,2000,0.5065828756638262,Disinflation,0.0,0.025996861067347304
362,2001,0.17813317253749208,0.03835921690253073,0.5541972358001377,0.636569907865603,0.03710377411717383,0.27095008816305444,0.022790578992627045,0.08709827755182233,0.49982728563055756,0.0,Japan,2001,0.46834488689261744,Disinflation,0.0,0.06638074302927698
363,2002,0.1782095730359925,0.03992138229790328,0.5895150494902143,0.6424483923793116,0.025996861067347304,0.28793598868235654,0.02152443547609848,0.08444094395399292,0.4829235093643801,0.40197836882800575,Japan,2002,0.47079604001897696,Disinflation,0.0,0.08139534124833153
